CurveID,GroupIndex,CaptureIndex,SystemTime,DataType,GlobalAvg,GlobalSum,RoiAvgWithoutBlackLevel,RoiSumWithoutBlackLevel,RoiAvg,RoiSum,RoiX,RoiY,RoiWidth,RoiHeight,CX,CY,Area,GroupTime,SingleTime
0,0,0,20210706-102413.707326,Source,11.9033897399902,15602011,16.490304413246,659612.176529841,27.89045,1115618,360,482,200,200,460.5653456029,582.672215954358,374042,11,11
0,0,1,20210706-102413.718296,Source,11.8891441345215,15583339,16.2168292180811,648673.168723244,27.611075,1104443,362,481,200,200,462.338415696244,581.451563534633,376039,22,22
0,0,2,20210706-102413.733258,Source,11.8949028015137,15590887,16.3405976643163,653623.906572652,27.736825,1109473,363,482,200,200,463.119663644683,582.311655387431,375912,37,37
0,0,3,20210706-102413.746299,Source,12.0216972351074,15757079,16.8061095253085,672244.381012339,28.314925,1132597,357,484,200,200,457.742542037311,584.864359610719,358610,50,50
0,0,4,20210706-102413.760265,Source,11.9765007019043,15697839,16.0981766620499,643927.066481994,27.5834,1103336,357,484,200,200,457.371899704007,584.857549502525,357103,64,64
0,0,5,20210706-102413.774228,Source,11.917276763916,15620213,16.820597122891,672823.884915638,28.22455,1128982,355,486,200,200,455.604576018196,586.046975620158,351725,78,78
0,0,6,20210706-102413.789186,Source,12.0524681091309,15797411,17.0598058486527,682392.233946109,28.59165,1143666,355,485,200,200,455.160280293919,585.281960599612,356697,93,93
0,0,7,20210706-102413.802149,Source,12.0246124267578,15760900,16.955916066482,678236.64265928,28.463075,1138523,356,486,200,200,456.870830116101,586.214321011919,356155,106,106
0,0,8,20210706-102413.816151,Source,11.8829254150391,15575188,16.3463506169731,653854.024678922,27.730425,1109217,361,481,200,200,461.640794531796,581.619819574849,375114,120,120
0,0,9,20210706-102413.830115,Source,11.8186531066895,15490945,16.0942803512969,643771.214051876,27.421775,1096871,360,481,200,200,460.314347468314,581.944207258426,374296,134,134
0,0,10,20210706-102413.843075,Source,11.8832168579102,15575570,16.9110164064467,676440.65625787,28.27815,1131126,361,481,200,200,461.914038846958,581.968268943755,375216,147,147
0,0,11,20210706-102413.858035,Source,12.0155830383301,15749065,16.2828552694535,651314.210778142,27.801525,1112061,360,486,200,200,460.15435359896,586.025560796881,356992,162,162
0,0,12,20210706-102413.872967,Source,11.9535591125488,15667769,16.2493311193654,649973.244774616,27.707,1108280,357,485,200,200,457.272367868803,585.849922677581,355007,176,176
0,0,13,20210706-102413.885964,Source,11.8867195129395,15580161,16.1083688932259,644334.755729035,27.5035,1100140,362,481,200,200,462.844990382002,581.601591099223,375338,190,190
0,0,14,20210706-102413.898926,Source,11.9443161010742,15655654,16.7364394988668,669457.579954671,28.17,1126800,357,485,200,200,457.788205217724,585.236320789247,355174,203,203
0,0,*,20210706-102413.899895,Average,11.9376643371582,15646935.4,16.5011319117771,660045.276471082,27.9352216666667,1117408.86666667,360,482,200,200,460.5653456029,582.672215954358,374042,11,11
1,0,0,20210706-102414.598090,Source,14.9790718078613,19633369,23.611416437925,944456.657516998,37.869925,1514797,347,487,200,200,447.495185431284,587.255563501627,355172,10,10
1,0,1,20210706-102414.610062,Source,15.1379524230957,19841617,23.3107089587006,932428.358348023,37.737275,1509491,358,484,200,200,458.897934323194,584.536637978232,365304,21,21
1,0,2,20210706-102414.622030,Source,15.1242599487305,19823670,23.2162435784437,928649.743137749,37.632,1505280,360,484,200,200,460.111147659123,584.935287726874,366337,33,33
1,0,3,20210706-102414.635991,Source,15.0938400268555,19783798,23.1901419415764,927605.677663057,37.576275,1503051,359,484,200,200,459.401219271507,584.532362228898,364808,47,47
1,0,4,20210706-102414.647964,Source,15.0137275695801,19678793,22.8234900717703,912939.602870813,37.1407,1485628,347,487,200,200,447.132675947083,587.631019131373,355803,60,60
1,0,5,20210706-102414.662920,Source,14.8667922973633,19486202,22.6153225761773,904612.903047091,36.79195,1471678,346,487,200,200,446.411502595954,587.470988727275,353242,74,74
