CurveID,GroupIndex,CaptureIndex,SystemTime,DataType,GlobalAvg,GlobalSum,RoiAvgWithoutBlackLevel,RoiSumWithoutBlackLevel,RoiAvg,RoiSum,RoiX,RoiY,RoiWidth,RoiHeight,CX,CY,Area,GroupTime,SingleTime
0,0,0,20210706-102323.007345,Source,12.8963676452637,16903527,18.5944911923949,743779.647695794,30.9234,1236936,358,484,200,200,458.376941655225,584.976391347262,362706,11,11
0,0,1,20210706-102323.018319,Source,12.8615234375,16857856,18.0696691009821,722786.764039285,30.37975,1215190,353,486,200,200,453.886875571092,586.13026487494,357867,23,23
0,0,2,20210706-102323.030287,Source,12.9056045532227,16915634,18.2778150969529,731112.603878116,30.625625,1225025,357,486,200,200,457.007896244625,586.080892701189,359538,35,35
0,0,3,20210706-102323.043250,Source,12.8692932128906,16868040,18.3474773608663,733899.094434651,30.65685,1226274,356,486,200,200,456.311743499442,586.251312332313,360046,47,47
0,0,4,20210706-102323.054221,Source,12.842301940918,16832662,18.8161720599345,752646.882397381,31.08425,1243370,355,485,200,200,455.23818571106,585.840181267198,358697,58,58
0,0,5,20210706-102323.068182,Source,12.8065879821777,16785851,18.2959604192898,731838.416771594,30.5442,1221768,354,485,200,200,454.06596214064,585.473479554668,359911,72,72
0,0,6,20210706-102323.083143,Source,12.8940727233887,16900519,18.8366770397885,753467.081591539,31.1559,1246236,352,484,200,200,452.963691659941,584.064396996702,360537,87,87
0,0,7,20210706-102323.096111,Source,13.0941497802734,17162764,18.6079961974314,744319.847897255,31.134275,1245371,358,485,200,200,458.237173054134,585.572123989915,363707,100,100
0,0,8,20210706-102323.110073,Source,12.7796974182129,16750605,17.9047883593553,716191.534374213,30.138075,1205523,354,485,200,200,454.781029232474,585.496097512094,359258,114,114
0,0,9,20210706-102323.124034,Source,12.824250793457,16809002,18.7098536262906,748394.145051624,30.963125,1238525,352,486,200,200,452.674883947657,586.447914419626,356951,127,127
0,0,10,20210706-102323.137996,Source,12.9116806030273,16923598,18.7224069126165,748896.276504659,31.062725,1242509,357,485,200,200,457.517249361674,585.928924701075,360709,142,142
0,0,11,20210706-102323.151959,Source,12.8550453186035,16849365,18.0961297343238,723845.189372954,30.398925,1215957,356,484,200,200,456.240035229337,584.749140764782,360495,155,155
0,0,12,20210706-102323.164924,Source,12.8988212585449,16906743,18.6366491374969,745465.965499874,30.966725,1238669,354,485,200,200,454.454895681225,585.562104517899,361584,169,169
0,0,13,20210706-102323.178894,Source,12.8082893371582,16788081,18.4854931440443,739419.725761773,30.72965,1229186,355,484,200,200,455.372415561376,584.76853769074,360765,183,183
0,0,14,20210706-102323.193847,Source,12.8465309143066,16838205,18.5552555464619,742210.221858474,30.835525,1233421,355,485,200,200,455.16591458992,585.379489621341,361222,198,198
0,0,15,20210706-102323.206815,Source,12.888355255127,16893025,18.3429264354067,733717.057416268,30.6715,1226860,354,485,200,200,454.282965744433,585.337639216143,360321,211,211
0,0,*,20210706-102323.217755,Average,12.8739107608795,16874092.3125,18.4562350852273,738249.403409091,30.76690625,1230676.25,358,484,200,200,458.376941655225,584.976391347262,362706,11,11
1,0,0,20210706-102323.905857,Source,16.318172454834,21388555,25.6074292684462,1024297.17073785,41.144125,1645765,356,485,200,200,456.756662072608,585.887369915244,363513,10,10
1,0,1,20210706-102323.916827,Source,16.5638862609863,21710617,25.9891909027953,1039567.63611181,41.75995,1670398,345,486,200,200,445.905936117662,586.904133234724,358315,21,21
1,0,2,20210706-102323.928795,Source,16.5012496948242,21628518,26.2651232561068,1050604.93024427,41.964825,1678593,355,485,200,200,455.677909589139,585.395064223665,363651,33,33
1,0,3,20210706-102323.942093,Source,16.421607208252,21524129,26.7827628494082,1071310.51397633,42.387025,1695481,345,488,200,200,445.624060857818,588.196519802383,356043,46,46
1,0,4,20210706-102323.956054,Source,16.5962295532227,21753010,25.7897099345253,1031588.39738101,41.5989,1663956,345,487,200,200,445.291914803196,587.864359486225,357666,60,60
1,0,5,20210706-102323.971051,Source,16.3731338500977,21460594,26.1655245907832,1046620.98363133,41.74015,1669606,357,485,200,200,457.168573845735,585.458408297465,364063,75,75
1,0,6,20210706-102323.984011,Source,16.4507804870605,21562367,26.428400283304,1057136.01133216,42.07265,1682906,344,488,200,200,444.54966955368,588.171650769823,355731,88,88
1,0,7,20210706-102323.998014,Source,16.4474296569824,21557975,26.0943311319567,1043773.24527827,41.745425,1669817,356,486,200,200,456.702755123021,586.043433623467,364775,102,102
1,0,8,20210706-102324.011978,Source,16.3383888244629,21415053,25.5476640078066,1021906.56031226,41.1064,1644256,356,486,200,200,456.235343655568,586.441823215672,363358,116,116
1,0,9,20210706-102324.025940,Source,16.359024810791,21442101,24.9336910538907,997347.642155628,40.5318,1621272,354,484,200,200,454.831742144139,584.706342382124,360527,131,131
1,0,10,20210706-102324.038942,Source,16.6328895568848,21801061,27.2568742319315,1090274.96927726,43.05795,1722318,343,489,200,200,443.566011256255,589.552575439164,345941,144,144
1,0,11,20210706-102324.052905,Source,16.6317321777344,21799544,26.2870602367162,1051482.40946865,42.116575,1684663,341,488,200,200,441.806147928585,588.801027057575,346816,157,157
1,0,12,20210706-102324.066835,Source,16.2987548828125,21363104,25.5169609670108,1020678.43868043,41.037,1641480,345,488,200,200,445.054405446046,588.018248937113,354459,172,172
1,0,13,20210706-102324.081867,Source,16.2615646362305,21314358,25.6403157013347,1025612.62805339,41.1194,1644776,354,485,200,200,454.13652290468,585.22072224895,359599,187,187
1,0,14,20210706-102324.094833,Source,16.4898178100586,21613534,25.7991600730295,1031966.40292118,41.50165,1660066,357,485,200,200,457.907932576652,585.885655863185,365808,199,199
1,0,15,20210706-102324.108794,Source,16.3359855651855,21411903,26.0050505980861,1040202.02392345,41.547425,1661897,356,484,200,200,456.100653963305,584.909802263166,361794,214,214
1,0,*,20210706-102324.109789,Average,16.4387904644012,21546651.4375,26.0068280679457,1040273.12271783,41.651953125,1666078.125,356,485,200,200,456.756662072608,585.887369915244,363513,10,10
2,0,0,20210706-102324.798994,Source,19.6619956970215,25771371,35.1462321896248,1405849.28758499,53.73565,2149426,345,489,200,200,445.349425438797,589.239585720178,349136,11,11
2,0,1,20210706-102324.810962,Source,19.7921546936035,25941973,35.7949969214304,1431799.87685721,54.494775,2179791,345,489,200,200,445.605379302439,589.591975467859,348930,22,22
2,0,2,20210706-102324.821933,Source,19.9029541015625,26087200,35.0912715185092,1403650.86074037,53.923325,2156933,346,489,200,200,446.043777552306,589.055390338908,342984,33,33
2,0,3,20210706-102324.832904,Source,19.6036911010742,25694950,33.9707127801561,1358828.51120625,52.5377,2101508,346,489,200,200,446.17524902848,589.925999062278,347651,44,44
2,0,4,20210706-102324.844921,Source,19.6276969909668,25726415,35.3253470473432,1413013.88189373,53.875,2155000,346,488,200,200,446.898099752962,588.034342261769,349744,56,56
2,0,5,20210706-102324.857886,Source,19.7741134643555,25918326,35.2311303072274,1409245.2122891,53.930075,2157203,346,490,200,200,446.40760782702,590.038455830308,350376,69,69
2,0,6,20210706-102324.871849,Source,19.9734252929688,26179568,35.0337963233442,1401351.85293377,53.938075,2157523,346,488,200,200,446.259708463104,588.828907839626,344519,83,83
2,0,7,20210706-102324.886808,Source,19.7142303466797,25839836,34.9572812138001,1398291.248552,53.6047,2144188,345,489,200,200,445.666199378291,589.912562436916,347751,98,98
2,0,8,20210706-102324.899809,Source,19.6754615783691,25789021,34.2110002958952,1368440.01183581,52.842425,2113697,346,490,200,200,446.940672606162,590.29268688855,347841,111,111
2,0,9,20210706-102324.913814,Source,19.8697692871094,26043704,35.9527722488038,1438110.88995215,54.72535,2189014,344,490,200,200,444.886664522072,590.189026012955,341945,125,125
2,0,10,20210706-102324.927834,Source,19.6935432434082,25812721,35.2630754155125,1410523.0166205,53.880475,2155219,346,489,200,200,446.974718498583,589.504024104587,349643,139,139
2,0,11,20210706-102324.941813,Source,19.8451171875,26011392,34.2556833039537,1370227.33215815,53.0554,2122216,347,488,200,200,447.26368137312,588.902769063929,352249,153,153
2,0,12,20210706-102324.955778,Source,19.8235626220703,25983140,35.160861722488,1406434.46889952,53.9114,2156456,348,488,200,200,448.770844967811,588.696380531751,352759,167,167
2,0,13,20210706-102324.968755,Source,19.7201919555664,25847650,35.6052954293629,1424211.81717452,54.2389,2169556,346,490,200,200,446.134316893269,590.480368193649,346937,180,180
2,0,14,20210706-102324.982717,Source,19.7056884765625,25828640,34.6301652984135,1385206.61193654,53.279025,2131161,346,489,200,200,446.345316509348,589.641707523827,349184,194,194
2,0,15,20210706-102324.997675,Source,20.0039649963379,26219597,35.4543148262402,1418172.59304961,54.3763,2175052,345,490,200,200,445.491544295533,590.751633720218,343082,209,209
2,0,*,20210706-102324.997675,Average,19.7742225646973,25918469,35.0677460526316,1402709.84210526,53.7717859375,2150871.4375,345,489,200,200,445.349425438797,589.239585720178,349136,11,11
3,0,0,20210706-102325.694620,Source,22.5675140380859,29579692,42.5914230420549,1703656.9216822,63.85915,2554366,352,487,200,200,452.589785077633,587.450690643118,339611,10,10
3,0,1,20210706-102325.706587,Source,22.3354515075684,29275523,42.9148301750189,1716593.20700076,63.940625,2557625,354,487,200,200,454.151163482446,587.195471892299,336189,22,22
3,0,2,20210706-102325.719553,Source,22.5861793518066,29604157,42.4475418219592,1697901.67287837,63.738325,2549533,350,486,200,200,450.752022808453,586.54880926461,339874,35,35
3,0,3,20210706-102325.733717,Source,22.639185333252,29673633,42.3089307668094,1692357.23067237,63.65695,2546278,350,487,200,200,450.700360841101,587.137654415308,340316,49,49
3,0,4,20210706-102325.747679,Source,22.3951210021973,29353733,41.6751795454545,1667007.18181818,62.798475,2511939,351,487,200,200,451.452364082381,587.246810081512,335902,63,63
3,0,5,20210706-102325.760645,Source,22.5705917358398,29583726,42.1670185469655,1686680.74187862,63.450775,2538031,352,486,200,200,452.228938280351,586.724345464742,338790,76,76
3,0,6,20210706-102325.774609,Source,22.4510063171387,29426983,43.1009554583228,1724038.21833291,64.236625,2569465,351,486,200,200,451.679257491272,586.994043406289,337693,91,91
3,0,7,20210706-102325.787575,Source,22.3949333190918,29353487,42.9434466696046,1717737.86678419,64.02785,2561114,353,487,200,200,453.12443719229,587.546127260494,337371,104,104
3,0,8,20210706-102325.801765,Source,22.4572616577148,29435182,42.4119740745404,1696478.96298162,63.574925,2542997,351,487,200,200,451.29405331389,587.61786080534,337398,117,117
