CurveID,GroupIndex,CaptureIndex,SystemTime,DataType,GlobalAvg,GlobalSum,RoiAvgWithoutBlackLevel,RoiSumWithoutBlackLevel,RoiAvg,RoiSum,RoiX,RoiY,RoiWidth,RoiHeight,CX,CY,Area,GroupTime,SingleTime
0,0,0,20210706-102335.690176,Source,12.9877258300781,17023272,18.0467420297154,721869.681188618,30.483725,1219349,355,484,200,200,455.869589797058,584.313817217464,363503,11,11
0,0,1,20210706-102335.701193,Source,12.968563079834,16998155,18.2375270775623,729501.083102493,30.649525,1225981,357,486,200,200,457.132223839774,586.380100802894,362688,21,21
0,0,2,20210706-102335.713151,Source,12.9679214477539,16997314,18.3621210148577,734484.840594309,30.769675,1230787,356,484,200,200,456.961255554427,584.773693628911,364349,34,34
0,0,3,20210706-102335.727111,Source,12.8774536132813,16878736,18.0258517250063,721034.069000252,30.3532,1214128,355,485,200,200,455.987539226305,585.277527840262,360090,47,47
0,0,4,20210706-102335.741072,Source,12.9431991577148,16964910,18.4002571266683,736010.285066734,30.781925,1231277,359,485,200,200,459.697584518459,585.580176592178,363323,61,61
0,0,5,20210706-102335.755034,Source,12.9589706420898,16985582,18.3828545580458,735314.182321833,30.780825,1231233,358,486,200,200,458.774678111588,586.099966772809,361150,75,75
0,0,6,20210706-102335.769992,Source,12.8366020202637,16825191,18.0060489864014,720241.959456056,30.29315,1211726,356,484,200,200,456.575138127646,584.970108680653,362346,90,90
0,0,7,20210706-102335.782962,Source,12.8906387329102,16896018,17.9817455930496,719269.823721984,30.323625,1212945,355,484,200,200,455.798305486236,584.767717749977,363054,103,103
0,0,8,20210706-102335.796920,Source,13.081916809082,17146730,19.2756029085873,771024.11634349,31.769275,1270771,357,484,200,200,457.62582359076,584.525060152578,365321,117,117
0,0,9,20210706-102335.810888,Source,12.9955474853516,17033524,18.2609319315034,730437.277260136,30.6992,1227968,358,484,200,200,458.293626234241,584.310511956961,365812,131,131
0,0,10,20210706-102335.824846,Source,12.9482063293457,16971473,18.7079654683959,748318.618735835,31.08525,1243410,355,484,200,200,455.170855109836,584.724512872844,362585,145,145
0,0,11,20210706-102335.837813,Source,12.7725639343262,16741255,18.064366790481,722574.671619239,30.28565,1211426,354,486,200,200,454.541609807324,586.073535275255,356142,158,158
0,0,12,20210706-102335.851807,Source,12.9602310180664,16987234,18.8142338327877,752569.353311508,31.2003,1248012,357,485,200,200,457.500958269702,585.877652156383,362111,172,172
0,0,13,20210706-102335.865833,Source,12.8797164916992,16881702,18.085303160413,723412.12641652,30.4131,1216524,358,486,200,200,458.565309655209,586.469550733471,359319,186,186
0,0,14,20210706-102335.879866,Source,13.0189842224121,17064243,19.0779795076807,763119.180307227,31.51475,1260590,356,485,200,200,456.083542998556,585.186398570152,363675,200,200
0,0,15,20210706-102335.896793,Source,12.9604782104492,16987558,19.0880168345505,763520.67338202,31.465975,1258639,356,484,200,200,456.556424916415,584.734407962501,363102,216,216
0,0,*,20210706-102335.896793,Average,12.9405449390411,16961431.0625,18.4260967841067,737043.871364266,30.804321875,1232172.875,355,484,200,200,455.869589797058,584.313817217464,363503,11,11
1,0,0,20210706-102336.591798,Source,16.5044609069824,21632727,26.1965699634853,1047862.79853941,41.901575,1676063,357,485,200,200,457.440930398311,585.95501247293,364790,12,12
1,0,1,20210706-102336.603769,Source,16.3991477966309,21494691,25.2403258184336,1009613.03273735,40.8692,1634768,357,485,200,200,457.812186495443,585.031786366529,363033,25,25
1,0,2,20210706-102336.614776,Source,16.499967956543,21626838,26.2272491689751,1049089.966759,41.926825,1677073,346,487,200,200,446.070533865347,587.494640582296,356382,35,35
1,0,3,20210706-102336.628742,Source,16.7561393737793,21962607,27.4311426655754,1097245.70662302,43.35015,1734006,344,488,200,200,444.478677636371,588.294663695705,350055,50,50
1,0,4,20210706-102336.643697,Source,16.5375343322754,21676077,26.7991869491312,1071967.47796525,42.518875,1700755,347,487,200,200,447.148237109908,587.272301883199,356999,64,64
1,0,5,20210706-102336.657042,Source,16.3455215454102,21424402,25.9449298791236,1037797.19516495,41.498675,1659947,344,488,200,200,444.259604146444,588.068387182586,353363,77,77
1,0,6,20210706-102336.671040,Source,16.4778594970703,21597860,26.4795832535885,1059183.33014354,42.14935,1685974,357,485,200,200,457.579933562284,585.051512526963,364853,92,92
1,0,7,20210706-102336.684039,Source,16.382836151123,21473311,25.7668558864266,1030674.23545706,41.36335,1654534,346,488,200,200,446.185885724068,588.515309573325,356313,105,105
1,0,8,20210706-102336.698999,Source,16.5664207458496,21713939,26.6531436476958,1066125.74590783,42.406175,1696247,347,486,200,200,447.131783929054,586.919855755694,358697,119,119
1,0,9,20210706-102336.712963,Source,16.4898246765137,21613543,25.0885160727776,1003540.64291111,40.8127,1632508,356,485,200,200,456.878883628757,585.752686337113,363320,133,133
1,0,10,20210706-102336.725929,Source,16.4202537536621,21522355,26.5617464177789,1062469.85671116,42.1714,1686856,347,487,200,200,447.014943899156,587.775220191266,357303,146,146
1,0,11,20210706-102336.739891,Source,16.5136604309082,21644785,26.3670480168723,1054681.92067489,42.07605,1683042,346,487,200,200,446.381422958111,587.687464816739,357059,160,160
1,0,12,20210706-102336.754852,Source,16.6031745910645,21762113,27.0153432573659,1080613.73029464,42.794075,1711763,342,488,200,200,442.486206380628,588.892016158733,347552,175,175
1,0,13,20210706-102336.767819,Source,16.6142242431641,21776596,26.0539285570385,1042157.14228154,41.87305,1674922,359,485,200,200,459.226590703052,585.203017192242,368422,188,188
1,0,14,20210706-102336.781781,Source,16.4377906799316,21545341,25.1095932951398,1004383.73180559,40.7811,1631244,357,485,200,200,457.354213446861,585.843182711414,363847,202,202
1,0,*,20210706-102336.782775,Average,16.5032544453939,21631145.6666667,26.1956775232939,1047827.10093176,41.8995033333333,1675980.13333333,357,485,200,200,457.440930398311,585.95501247293,364790,12,12
2,0,0,20210706-102337.478657,Source,19.7144157409668,25840079,34.3558929048099,1374235.71619239,53.02185,2120874,346,490,200,200,446.947358625626,590.172970651396,349250,11,11
2,0,1,20210706-102337.489627,Source,19.8877662658691,26067293,35.6768291551247,1427073.16620499,54.475825,2179033,347,488,200,200,447.90983648536,588.864506482828,351467,23,23
2,0,2,20210706-102337.501595,Source,20.0008674621582,26215537,35.4188036451775,1416752.1458071,54.338775,2173551,346,489,200,200,446.302366389833,589.70070190513,344491,34,34
2,0,3,20210706-102337.513564,Source,19.8122131347656,25968264,34.9170713170486,1396682.85268194,53.6637,2146548,348,489,200,200,448.102261577498,589.527747662188,349579,46,46
2,0,4,20210706-102337.524964,Source,19.8248222351074,25984791,34.6251535948124,1385006.1437925,53.3933,2135732,346,488,200,200,446.390347400393,588.949063379902,351957,58,58
2,0,5,20210706-102337.536933,Source,19.7560272216797,25894620,34.198709569378,1367948.38277512,52.911075,2116443,354,487,200,200,454.62260914834,587.17677176987,355365,70,70
2,0,6,20210706-102337.547943,Source,19.7087944030762,25832711,34.8754447053639,1395017.78821456,53.519925,2140797,347,489,200,200,447.385603987771,589.406735959342,348666,81,81
2,0,7,20210706-102337.559908,Source,19.7268463134766,25856372,34.2266945101989,1369067.78040796,52.909025,2116361,347,488,200,200,447.709964402669,588.721119563142,350869,92,92
2,0,8,20210706-102337.572876,Source,20.0596694946289,26292610,34.9484990556535,1397939.96222614,53.941625,2157665,347,489,200,200,447.773780131715,589.077196167656,345898,106,106
2,0,9,20210706-102337.586838,Source,20.0537796020508,26284890,36.2526896877361,1450107.58750944,55.200125,2208005,345,489,200,200,445.587583685375,589.417420765281,344893,120,120
2,0,10,20210706-102337.602793,Source,19.8235328674316,25983101,34.8239600541425,1392958.4021657,53.58475,2143390,346,489,200,200,446.566999888481,589.638274662084,349717,133,133
2,0,11,20210706-102337.615759,Source,19.6977897644043,25818287,35.3270048665324,1413080.19466129,53.9467,2157868,345,488,200,200,445.959754222508,588.943257182853,348608,148,148
2,0,12,20210706-102337.628726,Source,19.9678512573242,26172262,36.1020973180559,1444083.89272224,54.9682,2198728,345,489,200,200,445.885149001948,589.189859949522,343519,161,161
2,0,13,20210706-102337.642687,Source,19.7063789367676,25829545,35.1649192331906,1406596.76932763,53.79815,2151926,347,488,200,200,447.028473334859,588.795336461433,349520,175,175
2,0,14,20210706-102337.656652,Source,19.8612007141113,26032473,35.4632002707127,1418528.01082851,54.24215,2169686,346,488,200,200,446.640638134779,588.580073177195,350929,189,189
2,0,15,20210706-102337.670612,Source,19.9498428344727,26148658,34.765542319315,1390621.6927726,53.654425,2146177,342,489,200,200,442.79573586466,589.946413123484,341007,203,203
2,0,*,20210706-102337.670612,Average,19.8469873905182,26013843.3125,35.0714070129533,1402856.28051813,53.8481,2153924,346,490,200,200,446.947358625626,590.172970651396,349250,11,11
3,0,0,20210706-102338.373533,Source,22.3739616394043,29325999,41.5206479790985,1660825.91916394,62.6275,2505100,352,487,200,200,452.542346104748,587.294828472571,346242,10,10
3,0,1,20210706-102338.384508,Source,22.2845115661621,29208755,41.7870273042055,1671481.09216822,62.7963,2511852,352,488,200,200,452.435492966754,588.247018246616,344009,21,21
3,0,2,20210706-102338.396476,Source,22.530827331543,29531606,42.0948815033996,1683795.26013599,63.341075,2533643,352,486,200,200,452.316993869013,586.761797282067,338934,33,33
3,0,3,20210706-102338.407427,Source,22.8484375,29947904,44.1119524553009,1764478.09821204,65.6142,2624568,351,488,200,200,451.75501699398,588.111139466633,344828,45,45
3,0,4,20210706-102338.419395,Source,22.5067588806152,29500059,42.5384877423823,1701539.50969529,63.747075,2549883,352,487,200,200,452.272278019021,587.637816613534,337833,56,56
3,0,5,20210706-102338.433430,Source,22.3650611877441,29314333,41.9083553198187,1676334.21279275,62.994475,2519779,352,486,200,200,452.640685915635,586.572106256212,336018,70,70
