CurveID,GroupIndex,CaptureIndex,SystemTime,DataType,GlobalAvg,GlobalSum,RoiAvgWithoutBlackLevel,RoiSumWithoutBlackLevel,RoiAvg,RoiSum,RoiX,RoiY,RoiWidth,RoiHeight,CX,CY,Area,GroupTime,SingleTime
0,0,0,20210706-102711.157661,Source,11.7134956359863,15353113,16.3957117791488,655828.471165953,27.60885,1104354,360,484,200,200,460.033889699382,584.396772109803,365347,10,10
0,0,1,20210706-102711.169629,Source,11.6948890686035,15328725,15.8072086565097,632288.346260388,27.0197,1080788,362,483,200,200,462.558050011146,583.540025772215,367838,22,22
0,0,2,20210706-102711.183594,Source,11.5795913696289,15177602,16.1311420171242,645245.680684966,27.21845,1088738,360,485,200,200,460.779431352812,585.347314645009,362615,37,37
0,0,3,20210706-102711.197624,Source,11.6506454467773,15270734,16.0633696927726,642534.787710904,27.2238,1088952,361,484,200,200,461.015216970352,584.00256502565,366663,50,50
0,0,4,20210706-102711.210590,Source,11.561727142334,15154187,16.2272646751448,649090.587005792,27.293775,1091751,360,484,200,200,460.925969963144,584.727486151266,362488,63,63
0,0,5,20210706-102711.226547,Source,11.6494415283203,15269156,16.141869226895,645674.7690758,27.2987,1091948,360,484,200,200,460.733095719947,584.950948764785,365159,79,79
0,0,6,20210706-102711.239513,Source,11.5313766479492,15114406,16.1461136363636,645844.545454545,27.18475,1087390,360,485,200,200,460.759700257828,585.57472597168,362645,92,92
0,0,7,20210706-102711.252478,Source,11.6039939880371,15209587,16.4099220914127,656396.88365651,27.513125,1100525,361,484,200,200,461.724684280697,584.272465827304,365277,105,105
0,0,8,20210706-102711.266440,Source,11.6945777893066,15328317,16.2036947305465,648147.789221858,27.403775,1096151,361,484,200,200,461.215440772862,584.770918871446,364360,119,119
0,0,9,20210706-102711.281400,Source,11.5614685058594,15153848,16.0847232938806,643388.931755225,27.155325,1086213,359,485,200,200,459.501939465502,585.708372531872,362471,134,134
0,0,10,20210706-102711.294365,Source,11.5834129333496,15182611,16.3533775434399,654135.101737598,27.437725,1097509,361,484,200,200,461.663104683022,584.854784013806,363889,147,147
0,0,11,20210706-102711.308329,Source,11.622834777832,15234282,16.3726952279023,654907.809116092,27.495875,1099835,360,484,200,200,460.687457754207,584.200468774373,365421,161,161
0,0,12,20210706-102711.322291,Source,11.681226348877,15310817,16.1080781855956,644323.127423823,27.297725,1091909,361,484,200,200,461.659532134212,584.832256612639,364378,175,175
