序号,WriteTime,角度,GlobalAvg,GlobalAvg',Percentage,GlobalSum,GlobalSum',Percentage,RoiAvgWithoutBlackLevel,RoiAvgWithoutBlackLevel',Percentage,RoiSumWithoutBlackLevel,RoiSumWithoutBlackLevel',Percentage,RoiAvg,RoiAvg',Percentage,RoiSum,RoiSum',Percentage,MonitorData,CalcAlgorithmCol,RoiX,RoiY,RoiWidth,RoiHeight,是否启用自动Roi(只影响坐标),粗调起始角度,粗调范围(°),粗调步距(°),粗调拟合阶数,平均值时间,是否启用补偿,
1,20210706 09:45:56:1017,-23.002,16433840.375,16433840.375,0,33.7221953125,33.7221953125,0,1348887.8125,1348887.8125,0,12.538025188446,12.538025188446,0,21.8510100297469,21.8510100297469,0,874040.401189877,874040.401189877,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
2,20210706 09:45:56:1017,-18.002,21112457.4375,20989033.1208333,0,46.356609375,46.34987515625,0,1854264.375,1853995.00625,0,16.1075267314911,16.0133614508311,0,31.2012698332441,31.2914530690999,0,1248050.79332977,1251658.122764,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
3,20210706 09:45:56:1017,-13.002,25544225.8666667,25149137.8520833,0.588041935786749,58.977555,58.5436880208333,0.0145290979259445,2359102.2,2341747.52083333,0.0145290979259296,19.4886977132161,19.1872694794337,0.588041935786731,40.731896108453,40.5952884274926,-0.288204052578322,1629275.84433812,1623811.5370997,-0.288204052578325,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
4,20210706 09:45:56:1017,-8.002,29185818.2666667,28627430.0666667,1.57098035291339,70.7307666666667,69.18516,0.741099499936329,2829230.66666667,2767406.4,0.741099499936327,22.2670122273763,21.8409958394369,1.57098035291338,49.989307021741,48.8344740371863,0.336511172237103,1999572.28086964,1953378.96148745,0.336511172237135,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
5,20210706 09:45:56:1017,-3.002,31710634.2666667,30952437.1333333,1.95053554824741,79.392765,77.7033066666667,2.23401473186828,3175710.6,3108132.26666667,2.2340147318683,24.1932939656576,23.6148354593913,1.95053554824743,56.9370519659196,55.7910798451272,2.36479046272785,2277482.07863678,2231643.19380509,2.36479046272788,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
6,20210706 09:45:56:1017,1.998,32719056,31927986.0708333,2.44955552309907,84.6758466666667,81.57338328125,2.17424252043845,3387033.86666667,3262935.33125,2.17424252043843,24.9626586914063,24.3591202322642,2.44955552309907,61.5928526685134,59.0152660409584,2.05404183603108,2463714.10674054,2360610.64163834,2.05404183603104,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
7,20210706 09:45:56:1017,6.998,32145337.875,31410981.5,2.47766936320898,83.7540015625,81.2629670833333,3.80327903615317,3350160.0625,3250518.68333333,3.80327903615318,24.5249464988709,23.9646770477295,2.47766936320897,61.0934801159972,59.1019380473013,4.36766077740979,2443739.20463989,2364077.52189205,4.3676607774098,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
8,20210706 09:45:56:1017,11.998,30102907,29422776.84375,2.33789693900523,77.8500875,75.89031171875,3.0653993677245,3114003.5,3035612.46875,3.0653993677245,22.9666954040527,22.4477972745895,2.33789693900525,56.6110234260891,55.1247895148026,3.36967303356797,2264440.93704357,2204991.58059211,3.36967303356798,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
9,20210706 09:45:56:1027,16.998,26700215.8125,26293719.1333333,2.31157704747528,68.026621875,67.0737754166667,2.5823794063634,2721064.875,2682951.01666667,2.58237940636341,20.3706480503082,20.0605156962077,2.31157704747528,49.156098913608,48.4931533152858,2.6961262335295,1966243.95654432,1939726.13261143,2.69612623352953,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
10,20210706 09:45:56:1027,21.998,22484531.2666667,22228836.9375,1.54598395573238,56.2974633333333,54.84777890625,1.42059463987852,2251898.53333333,2193911.15625,1.42059463987854,17.1543359883626,16.9592566967011,1.54598395573239,40.3752832044825,39.0811853362661,1.36709113142626,1615011.3281793,1563247.41345064,1.36709113142625,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
11,20210706 09:45:56:1027,26.998,17757458.0625,17757458.0625,1.15028208576809,41.6689359375,41.6689359375,2.6431050737009,1666757.4375,1666757.4375,2.64310507370085,13.5478653430939,13.5478653430939,1.15028208576807,29.0062717589241,29.0062717589241,3.31130659697661,1160250.87035696,1160250.87035696,3.31130659697664,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
