序号,WriteTime,角度,GlobalAvg,GlobalAvg',Percentage,GlobalSum,GlobalSum',Percentage,RoiAvgWithoutBlackLevel,RoiAvgWithoutBlackLevel',Percentage,RoiSumWithoutBlackLevel,RoiSumWithoutBlackLevel',Percentage,RoiAvg,RoiAvg',Percentage,RoiSum,RoiSum',Percentage,MonitorData,CalcAlgorithmCol,RoiX,RoiY,RoiWidth,RoiHeight,是否启用自动Roi(只影响坐标),粗调起始角度,粗调范围(°),粗调步距(°),粗调拟合阶数,平均值时间,是否启用补偿,
1,20210706 09:44:53:3739,-23.002,15487298,15487298,0,32.72618,32.72618,0,1309047.2,1309047.2,0,11.8158706665039,11.8158706665039,0,21.5685285897759,21.5685285897759,0,862741.143591035,862741.143591035,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
2,20210706 09:44:53:3739,-18.002,19741522.8125,19482871.78125,0,44.3586921875,43.9649540625,0,1774347.6875,1758598.1625,0,15.0615866184235,14.8642515420914,0,30.2193262178135,30.0167407513457,0,1208773.04871254,1200669.63005383,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
3,20210706 09:44:53:3749,-13.002,23478445.5625,23204074.1875,1.32758165302367,55.203728125,54.63426328125,0.895572697381341,2208149.125,2185370.53125,0.895572697381352,17.9126324176788,17.7033036708832,1.32758165302366,38.4649529129155,38.0934803737251,0.67490827250705,1538598.11651662,1523739.21494901,0.674908272507072,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
4,20210706 09:44:53:3749,-8.002,26666625.5625,26200374.84375,1.18242758915072,64.909834375,63.4179015625,1.04232181336182,2596393.375,2536716.0625,1.04232181336183,20.3450207233429,19.9892996549606,1.18242758915077,45.9676345296367,44.7956568655959,0.975160409461057,1838705.38118547,1791826.27462384,0.975160409461037,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
5,20210706 09:44:53:3749,-3.002,28922304.125,28349638.9375,1.77955743584036,71.632075,70.19181171875,2.35254206736825,2865283,2807672.46875,2.35254206736825,22.0659668922424,21.6290580272675,1.77955743584032,51.1263608182763,50.0914225938838,2.61627520622645,2045054.43273105,2003656.90375535,2.61627520622644,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
6,20210706 09:44:53:3749,1.998,30032652.3125,29297449.7958333,2.02000875130193,75.4737890625,73.0743041666667,2.05189643347709,3018951.5625,2922972.16666667,2.05189643347711,22.913095331192,22.3521803251902,2.02000875130196,54.2152106581308,52.3187658662018,2.06609868676168,2168608.42632523,2092750.63464807,2.06609868676168,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
7,20210706 09:44:53:3749,6.998,29672595.4666667,28918568.25,2.50944202239482,74.5165333333333,72.20034375,3.28362332450082,2980661.33333333,2888013.75,3.28362332450081,22.638393758138,22.063116645813,2.50944202239481,53.5111709141274,51.7154576224503,3.62478885067526,2140446.8365651,2068618.30489801,3.62478885067524,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
8,20210706 09:44:53:3749,11.998,27804484.1875,27199236.1083333,2.6074154506825,68.9268984375,67.4882619791667,3.20800353991852,2757075.9375,2699530.47916667,3.20800353991852,21.213137960434,20.7513703219096,2.60741545068251,49.2157045867697,48.2080856781982,3.4722950820368,1968628.18347079,1928323.42712793,3.47229508203681,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
9,20210706 09:44:53:3749,16.998,24725876.75,24354133.125,2.22523925582318,60.459990625,59.5383515625,2.13168396420912,2418399.625,2381534.0625,2.1316839642091,18.8643468856812,18.5807290077209,2.22523925582317,42.9050004422689,42.2468954883845,2.0901450335482,1716200.01769076,1689875.81953538,2.09014503354819,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
10,20210706 09:44:53:3749,21.998,20903782.0625,20678313.8416667,1.52640877460918,50.1498046875,49.3665911458333,1.54797544492396,2005992.1875,1974663.64583333,1.54797544492396,15.9483200550079,15.7763014539083,1.52640877460917,35.2780863899994,34.6476521224188,1.55775932474222,1411123.45559997,1385906.08489675,1.55775932474223,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
11,20210706 09:44:53:3749,26.998,16630750.9333333,16630750.9333333,1.09036076422739,38.2731916666667,38.2731916666667,1.58652546892086,1530927.66666667,1530927.66666667,1.58652546892085,12.6882560221354,12.6882560221354,1.09036076422739,26.3903038025686,26.3903038025686,1.81955840861336,1055612.15210274,1055612.15210274,1.81955840861337,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
