序号,WriteTime,角度,GlobalAvg,GlobalAvg',Percentage,GlobalSum,GlobalSum',Percentage,RoiAvgWithoutBlackLevel,RoiAvgWithoutBlackLevel',Percentage,RoiSumWithoutBlackLevel,RoiSumWithoutBlackLevel',Percentage,RoiAvg,RoiAvg',Percentage,RoiSum,RoiSum',Percentage,MonitorData,CalcAlgorithmCol,RoiX,RoiY,RoiWidth,RoiHeight,是否启用自动Roi(只影响坐标),粗调起始角度,粗调范围(°),粗调步距(°),粗调拟合阶数,平均值时间,是否启用补偿,
1,20210706 09:45:43:5828,-23.002,16443367.375,16443367.375,0,33.7869359375,33.7869359375,0,1351477.4375,1351477.4375,0,12.545293712616,12.545293712616,0,21.9102912498426,21.9102912498426,0,876411.649993704,876411.649993704,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
2,20210706 09:45:43:5828,-18.002,21131477.5,21002847.21875,0,46.44799375,46.42301640625,0,1857919.75,1856920.65625,0,16.1220378875732,16.0239007711411,0,31.2805628840343,31.356025595922,0,1251222.51536137,1254241.02383688,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
3,20210706 09:45:43:5828,-13.002,25562327.0625,25172469.25,0.612442112777772,59.059096875,58.8041890625,0.0538037932120235,2362363.875,2352167.5625,0.0538037932120181,19.5025078296661,19.2050699234009,0.612442112777781,40.8017599420014,40.8456288072904,-0.240664148129675,1632070.39768006,1633825.15229161,-0.240664148129693,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
4,20210706 09:45:43:5828,-8.002,29213461,28620265.1875,1.5487468020246,71.160384375,69.24488359375,0.433485805286886,2846415.375,2769795.34375,0.433485805286884,22.2881019592285,21.8355294704437,1.5487468020246,50.4106947305465,48.9017160637277,-0.107401615717423,2016427.78922186,1956068.64254911,-0.107401615717374,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
5,20210706 09:45:43:5828,-3.002,31678203.3125,30942916.5,2.07264261394433,79.4306703125,77.9049196875,2.76627049081052,3177226.8125,3116196.7875,2.7662704908105,24.1685511112213,23.6075717926025,2.07264261394434,57.0016721854539,56.0065315984639,3.08573765561181,2280066.88741816,2240261.26393855,3.08573765561179,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
6,20210706 09:45:43:5828,1.998,32672372,31896823,2.37626861223634,84.649455,81.53283984375,1.95847788704519,3385978.2,3261313.59375,1.95847788704518,24.9270416259766,24.3353446960449,2.37626861223634,61.6023684663813,58.9979703160413,1.77682952075068,2464094.73865525,2359918.81264165,1.77682952075067,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
7,20210706 09:45:43:5828,6.998,32115442.6875,31350577.2666667,2.4314302399333,83.635009375,81.023975,3.82252741621988,3345400.375,3240959,3.8225274162199,24.5021382808685,23.9185922749837,2.4314302399333,60.9942684466287,58.9029583585159,4.41438601427924,2439770.73786515,2356118.33434064,4.41438601427928,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
8,20210706 09:45:43:5828,11.998,30028782.5333333,29389766.5104167,2.43971718392112,77.398495,75.7972163541667,3.22254539474273,3095939.8,3031888.65416667,3.22254539474273,22.9101429239909,22.4226123889287,2.43971718392114,56.2035482506505,55.054741335083,3.55043302814084,2248141.93002602,2202189.65340332,3.55043302814079,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
9,20210706 09:45:43:5828,16.998,26664090.3333333,26210745.5166667,2.17428070648395,67.9594233333333,66.69745609375,2.11258239135228,2718376.93333333,2667898.24375,2.11258239135229,20.3430864969889,19.9972118504842,2.17428070648393,49.1152142235373,48.1702846689541,2.0866629970623,1964608.56894149,1926811.38675816,2.08666299706236,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
10,20210706 09:45:43:5838,21.998,22392708.5,22190594.3229167,1.72961435369474,55.9964171875,54.9615702604167,1.8920770198634,2239856.6875,2198462.81041667,1.89207701986341,17.0842807769775,16.9300798972448,1.72961435369473,40.1370210872576,39.2286538724634,1.96164411540678,1605480.8434903,1569146.15489854,1.96164411540678,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
11,20210706 09:45:43:5838,26.998,17717098.3125,17717098.3125,0.910810112348387,41.9637171875,41.9637171875,1.88285546097044,1678548.6875,1678548.6875,1.88285546097038,13.5170732975006,13.5170732975006,0.910810112348383,29.3420935213894,29.3420935213894,2.31557069928383,1173683.74085558,1173683.74085558,2.31557069928382,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
