序号,WriteTime,角度,GlobalAvg,GlobalAvg',Percentage,GlobalSum,GlobalSum',Percentage,RoiAvgWithoutBlackLevel,RoiAvgWithoutBlackLevel',Percentage,RoiSumWithoutBlackLevel,RoiSumWithoutBlackLevel',Percentage,RoiAvg,RoiAvg',Percentage,RoiSum,RoiSum',Percentage,MonitorData,CalcAlgorithmCol,RoiX,RoiY,RoiWidth,RoiHeight,是否启用自动Roi(只影响坐标),粗调起始角度,粗调范围(°),粗调步距(°),粗调拟合阶数,平均值时间,是否启用补偿,
1,20210706 09:45:18:4584,-23.002,15635666.9333333,15635666.9333333,0,32.325035,32.325035,0,1293001.4,1293001.4,0,11.929067179362,11.929067179362,0,21.037996523126,21.037996523126,0,841519.86092504,841519.86092504,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
2,20210706 09:45:18:4584,-18.002,20232988,20254964.9666667,0,44.989545,45.26007765625,0,1799581.8,1810403.10625,0,15.4365447998047,15.4533118947347,0,30.4832759556787,30.7450296044237,0,1219331.03822715,1229801.18417695,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
3,20210706 09:45:18:4584,-13.002,24874263,24529735.65625,-0.108501627639641,58.1951203125,57.9546584375,-0.597729103128586,2327804.8125,2318186.3375,-0.597729103128571,18.9775566101074,18.7147031068802,-0.108501627639629,40.4520626857215,40.4751591624827,-0.851368992363593,1618082.50742886,1619006.36649931,-0.851368992363574,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
4,20210706 09:45:18:4584,-8.002,28826483.3125,28228361.0666667,1.40452937845752,70.919771875,68.73278015625,0.414913798964645,2836790.875,2749311.20625,0.414913798964622,21.9928614139557,21.5365303548177,1.40452937845754,50.4670423692867,48.6819035977504,-0.0570633377091504,2018681.69477147,1947276.14391001,-0.0570633377091541,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
5,20210706 09:45:18:4584,-3.002,31582459.1333333,30758830.25,2.11886989974639,79.27044,77.5645359375,3.18187582952166,3170817.6,3102581.4375,3.1818758295217,24.095504099528,23.4671251296997,2.11886989974641,56.9117445097792,55.8003008483379,3.66694529097839,2276469.78039117,2232012.03393352,3.66694529097837,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
6,20210706 09:45:18:4584,1.998,32691177.1875,31867876.9104167,2.67769897827416,84.2093,80.96683875,2.1993350980332,3368372,3238673.55,2.19933509803319,24.9413888454437,24.3132605822881,2.67769897827416,61.1335593273892,58.4369317992818,1.99182377969992,2445342.37309557,2337477.27197127,1.99182377969994,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
7,20210706 09:45:18:4584,6.998,32153294.6875,31386110.59375,2.58348015902566,82.6632375,80.4213333333333,4.00467808804008,3306529.5,3216853.33333333,4.00467808804009,24.5310170650482,23.9457020521164,2.58348015902565,59.9621190887843,58.2533834620661,4.61459464944147,2398484.76355137,2330135.33848264,4.61459464944148,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
8,20210706 09:45:18:4584,11.998,30081044,29430149.375,2.44434267017071,76.6333666666667,74.828890625,2.78769833045955,3065334.66666667,2993155.625,2.78769833045959,22.9500152587891,22.4534220695496,2.44434267017073,55.3732075967431,54.0241549239801,2.93328133949658,2214928.30386972,2160966.1969592,2.93328133949661,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
9,20210706 09:45:18:4584,16.998,26707004.0625,26258508.625,2.21165926379196,66.99454375,66.0574348958333,2.41146972325128,2679781.75,2642297.39583333,2.41146972325124,20.3758270740509,20.0336522102356,2.21165926379193,48.0861907591759,47.4725293075317,2.49712869115913,1923447.63036704,1898901.17230127,2.4971286911591,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
10,20210706 09:45:18:4594,21.998,22435973.25,22236759.03125,1.70800041961637,55.481503125,54.4551375,1.41862737426058,2219260.125,2178205.5,1.41862737426061,17.1172891616821,16.9653007745743,1.70800041961637,39.5718510183203,38.6699499439294,1.2926664338208,1582874.04073281,1546797.99775718,1.29266643382083,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
11,20210706 09:45:18:4594,26.998,17766514,17766514,0.895877940081295,41.91573125,41.91573125,1.88479117328465,1676629.25,1676629.25,1.88479117328461,13.5547744750977,13.5547744750977,0.895877940081278,29.2537091286829,29.2537091286829,2.33230473713731,1170148.36514732,1170148.36514732,2.33230473713733,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
