序号,WriteTime,角度,GlobalAvg,GlobalAvg',Percentage,GlobalSum,GlobalSum',Percentage,RoiAvgWithoutBlackLevel,RoiAvgWithoutBlackLevel',Percentage,RoiSumWithoutBlackLevel,RoiSumWithoutBlackLevel',Percentage,RoiAvg,RoiAvg',Percentage,RoiSum,RoiSum',Percentage,MonitorData,CalcAlgorithmCol,RoiX,RoiY,RoiWidth,RoiHeight,是否启用自动Roi(只影响坐标),粗调起始角度,粗调范围(°),粗调步距(°),粗调拟合阶数,平均值时间,是否启用补偿,
1,20210706 09:45:05:9212,-23.002,15570176.9375,15570176.9375,0,32.471215625,32.471215625,0,1298848.625,1298848.625,0,11.8791022777557,11.8791022777557,0,21.2403163611968,21.2403163611968,0,849612.654447872,849612.654447872,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
2,20210706 09:45:05:9221,-18.002,19944524.75,19826046,0,44.4026359375,44.3641359375,0,1776105.4375,1774565.4375,0,15.216464805603,15.1260726928711,0,30.1048997623395,30.1584253462604,0,1204195.99049358,1206337.01385042,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
3,20210706 09:45:05:9221,-13.002,24081915.0625,23745734.875,0.597591420901576,56.25705625,56.026115625,0.0867818096451871,2250282.25,2241044.625,0.086781809645144,18.3730431079865,18.1165579795837,0.597591420901587,39.076534331324,39.1028829301498,-0.177481361531254,1563061.37325296,1564115.31720599,-0.177481361531295,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
4,20210706 09:45:05:9221,-8.002,27546945,26959866.93125,1.41574977262101,67.6495953125,65.391538125,0.412201742747516,2705983.8125,2615661.525,0.412201742747537,21.0166511535645,20.5687461328506,1.415749772621,48.1008660979602,46.2337335683313,-0.0673827525017435,1924034.64391841,1849349.34273325,-0.0673827525016792,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
5,20210706 09:45:05:9221,-3.002,29837818.8,29154891.6333333,2.17760002394336,74.52602,72.9926634895833,3.45313361980197,2981040.8,2919706.53958333,3.45313361980198,22.7644491577148,22.243417078654,2.17760002394336,53.3909328053387,52.3467422057836,4.03846366175327,2135637.31221355,2093869.68823134,4.03846366175324,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
6,20210706 09:45:05:9221,1.998,30762838.2666667,30038184.9,2.34241023858194,78.3357316666667,75.783469375,2.1006994910324,3133429.26666667,3031338.775,2.10069949103239,23.4701830037435,22.9173163604736,2.34241023858194,56.592618313607,54.5302852549735,1.99475756380449,2263704.73254428,2181211.41019894,1.99475756380451,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
7,20210706 09:45:05:9221,6.998,30238551,29522649.0083333,2.41244059545911,77.04091875,74.7343713020833,3.3678351132716,3081636.75,2989374.85208333,3.36783511327158,23.0701835632324,22.5239936892192,2.4124405954591,55.6696377046084,53.8538672128662,3.78199572767747,2226785.50818434,2154154.68851465,3.78199572767744,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
8,20210706 09:45:05:9221,11.998,28282459.75,27711411.2666667,2.42492464502284,71.1330109375,69.7092427083333,3.08632749259825,2845320.4375,2788369.70833333,3.08632749259827,21.5778043746948,21.1421289571126,2.42492464502283,51.1151161121254,50.0959199005288,3.37166221427529,2044604.64448502,2003836.79602115,3.37166221427534,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
9,20210706 09:45:05:9221,16.998,25184271.5333333,24752567.3125,2.06069794799745,62.3775666666667,61.39290625,2.04243823896324,2495102.66666667,2455716.25,2.04243823896319,19.2140743509928,18.8847101688385,2.06069794799749,44.5222020964493,43.8462783048193,2.03448946265548,1780888.08385797,1753851.13219277,2.03448946265542,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
10,20210706 09:45:05:9221,21.998,21222674.875,21012816.9229167,1.74407856519727,51.6528015625,50.6911848958333,1.60386676052929,2066112.0625,2027647.39583333,1.6038667605293,16.1916159629822,16.0315070517858,1.74407856519724,36.5774404975132,35.7507027069299,1.54157620158983,1463097.61990053,1430028.1082772,1.54157620158987,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
11,20210706 09:45:05:9221,26.998,16841362.3125,16841362.3125,0.998714036548153,39.004803125,39.004803125,1.89700964505511,1560192.125,1560192.125,1.8970096450551,12.8489397525787,12.8489397525787,0.998714036548157,26.9792033174106,26.9792033174106,2.31250780540053,1079168.13269642,1079168.13269642,2.31250780540054,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
