CurveID,GroupIndex,CaptureIndex,SystemTime,DataType,GlobalAvg,GlobalSum,RoiAvgWithoutBlackLevel,RoiSumWithoutBlackLevel,RoiAvg,RoiSum,RoiX,RoiY,RoiWidth,RoiHeight,CX,CY,Area,GroupTime,SingleTime
0,0,0,20210706-102905.236814,Source,12.5869438171387,16497959,17.7896017438932,711584.069755729,29.83365,1193346,363,484,200,200,463.273505529682,584.384695146123,370817,11,11
0,0,1,20210706-102905.249779,Source,12.5709358215332,16476977,18.4421488982624,737685.955930496,30.450275,1218011,356,486,200,200,456.136191146065,586.164944170124,352589,23,23
0,0,2,20210706-102905.260751,Source,12.4498069763184,16318211,17.6144689561823,704578.758247293,29.526725,1181069,363,485,200,200,463.050076008958,585.71718946663,367062,34,34
0,0,3,20210706-102905.271723,Source,12.5984191894531,16513000,17.9461797532108,717847.190128431,29.996925,1199877,364,482,200,200,464.039413205035,582.963604536277,372464,45,45
0,0,4,20210706-102905.283688,Source,12.4385482788086,16303454,17.8663391211282,714653.564845127,29.75965,1190386,362,483,200,200,462.203021312928,583.942872814128,370104,57,57
0,0,5,20210706-102905.296654,Source,12.5265518188477,16418802,18.3332340846134,733329.363384538,30.3003,1212012,362,483,200,200,462.003688991316,583.425040883847,370562,70,70
0,0,6,20210706-102905.310616,Source,12.6270973205566,16550589,17.7424080017628,709696.320070511,29.82805,1193122,358,487,200,200,458.325190253794,587.052227392581,353081,84,84
0,0,7,20210706-102905.324579,Source,12.5077560424805,16394166,17.9284261017376,717137.044069504,29.88905,1195562,363,482,200,200,463.741494712078,582.983932595409,373209,98,98
0,0,8,20210706-102905.338546,Source,12.4074867248535,16262741,17.8501310438177,714005.241752707,29.712875,1188515,363,483,200,200,463.518105197018,583.997604480664,369231,112,112
0,0,9,20210706-102905.352504,Source,12.5638671875,16467712,17.7858901032486,711435.604129942,29.806975,1192279,363,483,200,200,463.860660833679,583.084031192636,373165,126,126
0,0,10,20210706-102905.365473,Source,12.511595916748,16399199,17.7983929299924,711935.717199698,29.766825,1190673,362,483,200,200,462.854247099064,583.075923708473,372466,139,139
0,0,11,20210706-102905.380430,Source,12.5366668701172,16432060,18.0619655754218,722478.623016872,30.047425,1201897,364,484,200,200,464.864921559499,584.224616458972,369452,153,153
0,0,12,20210706-102905.393398,Source,12.5156478881836,16404510,18.1192837698313,724771.350793251,30.081975,1203279,363,484,200,200,463.339737819057,584.860944830494,367685,167,167
0,0,13,20210706-102905.407362,Source,12.487858581543,16368086,18.2526944472425,730107.7778897,30.183525,1207341,362,483,200,200,462.213020993592,583.231361371574,370494,181,181
0,0,14,20210706-102905.421324,Source,12.5113800048828,16398916,17.9291492067489,717165.968269957,29.893375,1195735,363,483,200,200,463.070026960246,583.355577769321,373142,195,195
0,0,15,20210706-102905.436281,Source,12.5490653991699,16448311,17.8724845441954,714899.381767817,29.876125,1195045,363,482,200,200,463.915964655006,582.70091092034,373688,209,209
0,0,*,20210706-102905.436281,Average,12.5243517398834,16415918.3125,17.9582998925806,718331.995703224,29.9346078125,1197384.3125,363,484,200,200,463.273505529682,584.384695146123,370817,11,11
1,0,0,20210706-102906.129628,Source,15.8307479858398,20749678,24.1694965122135,966779.860488542,39.26265,1570506,351,488,200,200,451.439174193476,588.698927165991,355507,9,9
1,0,1,20210706-102906.140592,Source,16.0338638305664,21015906,24.0849247418786,963396.989675145,39.383775,1575351,364,485,200,200,464.959709537356,585.284967809552,367345,20,20
1,0,2,20210706-102906.151592,Source,15.9840126037598,20950565,25.0495386489549,1001981.5459582,40.2691,1610764,350,488,200,200,450.492187846529,588.471628964294,360720,31,31
1,0,3,20210706-102906.163560,Source,16.0115119934082,20986609,25.10727627172,1004291.0508688,40.352575,1614103,362,485,200,200,462.443358337579,585.403085061409,369004,43,43
1,0,4,20210706-102906.174530,Source,15.974153137207,20937642,24.8633408083606,994533.632334425,40.078725,1603149,362,485,200,200,462.155117512239,585.547669419694,368685,55,55
1,0,5,20210706-102906.186498,Source,15.9377479553223,20889925,24.4227760198942,976911.040795769,39.6152,1584608,361,486,200,200,461.617831102629,586.606086656082,364683,66,66
1,0,6,20210706-102906.199463,Source,15.9482078552246,20903635,24.6248323910854,984993.295643415,39.82155,1592862,364,483,200,200,464.969084637978,583.954649564819,371110,79,79
1,0,7,20210706-102906.213588,Source,15.9156196594238,20860921,23.8176369365399,952705.477461597,39.0064,1560256,364,485,200,200,464.480451653041,585.32838439625,366476,93,93
1,0,8,20210706-102906.226554,Source,15.9873992919922,20955004,25.0760355829766,1003041.42331906,40.298175,1611927,349,488,200,200,449.95162380463,588.901890249352,358048,106,106
1,0,9,20210706-102906.240517,Source,15.8832870483398,20818542,24.1019717577436,964078.870309746,39.249725,1569989,362,485,200,200,462.68694833648,585.836359575687,364919,120,120
1,0,10,20210706-102906.257476,Source,15.9843162536621,20950963,24.3000370246789,972001.480987157,39.542775,1581711,363,485,200,200,463.822968698877,585.490026175155,366760,137,137
1,0,11,20210706-102906.267447,Source,15.9892639160156,20957448,25.2600104255855,1010400.41702342,40.4784,1619136,350,489,200,200,450.085371304068,589.485312644031,357995,147,147
1,0,12,20210706-102906.282401,Source,15.8604377746582,20788593,23.929610998489,957184.439939562,39.059775,1562391,363,485,200,200,463.145704104887,585.453330199971,365954,162,162
1,0,13,20210706-102906.295367,Source,15.822135925293,20738390,24.0524103878116,962096.415512465,39.140525,1565621,349,488,200,200,449.949160966571,588.67045656147,355111,175,175
